order_month,orders,gmv,avg_order_value,late_rate,avg_review
2016-09,1,143.46,143.46,1.0,1.0
2016-10,265,46490.66,175.4364528301887,0.007547169811320755,4.011450381679389
2016-12,1,19.62,19.62,0.0,5.0
2017-01,750,127482.37,169.97649333333334,0.029333333333333333,4.199055330634278
2017-02,1653,271239.32,164.08912280701756,0.029643073200241985,4.202678027997566
2017-03,2546,414330.95,162.73800078554595,0.04556166535742341,4.187376335575782
2017-04,2303,390812.4,169.6970907511941,0.06556665219279201,4.137554585152839
2017-05,3545,566657.4,159.84693935119887,0.029901269393511988,4.238271253909582
2017-06,3135,490050.37,156.31590749601276,0.030303030303030304,4.222918675666988
2017-07,3872,566299.08,146.2549276859504,0.027892561983471075,4.258415755682805
2017-08,4193,645832.36,154.02632005723825,0.02909611256856666,4.3115246098439375
2017-09,4150,701077.49,168.93433493975903,0.04385542168674699,4.267484215638659
2017-10,4478,751117.01,167.73492853952658,0.041759714158106295,4.205240665766982
2017-11,7288,1153229.37,158.2367412184413,0.12403951701427003,3.9887384275252176
2017-12,5513,843078.29,152.92550154181026,0.07455106112824234,4.0895440395531955
2018-01,7069,1077887.46,152.48089687367377,0.05700947800254633,4.108726650506203
2018-02,6555,966168.41,147.39411289092297,0.14126620900076278,3.881717125147277
2018-03,7003,1120598.24,160.01688419248893,0.18963301442239042,3.8132556131260795
2018-04,6798,1132878.93,166.64885701676963,0.04501323918799647,4.2062351895734595
2018-05,6749,1128774.52,167.2506326863239,0.06563935397836716,4.236239214519488
2018-06,6096,1011448.96,165.92010498687662,0.011646981627296589,4.307312252964427
2018-07,6156,1027286.52,166.8756530214425,0.03378817413905133,4.317750898986597
2018-08,6351,985491.64,155.17109746496615,0.061880018894662256,4.3103475513428124
