segment,customers,avg_recency,avg_frequency,avg_monetary,total_monetary,recommended_action,customer_share,revenue_share,monetary_rank,frequency_rank,recency_rank,revenue_rank,priority_score
Big Spenders,18503,239.18364589526024,1.0676106577311788,399.699747068043,7395644.42,beri personalized high-value offer,0.19821103374397428,0.5594179397951775,0.8333333333333334,0.6666666666666666,0.5,1.0,0.7916666666666666
Champions,32,83.125,4.96875,732.3924999999999,23436.559999999998,pertahankan dengan loyalty reward,0.0003427959292983396,0.0017727775115351022,1.0,1.0,1.0,0.16666666666666666,0.7083333333333333
New Customers,29779,90.1442291547735,1.0183014876255079,77.73946673830552,2315003.58,dorong repeat order,0.3190037493304767,0.1751104379545144,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6083333333333334
Regular Customers,15177,219.06305593990908,1.0359096000527113,79.73682084733478,1210165.73,campaign umum berbasis kategori,0.1625816818425281,0.09153880054813764,0.5,0.5,0.6666666666666666,0.5,0.5333333333333333
At Risk,571,384.1295971978984,2.141856392294221,136.37297723292468,77868.97,beri retention offer,0.006116764863417247,0.005890128878231342,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5166666666666667
Hibernating,29288,394.5609464627151,1.0,75.0522285577711,2198129.67,reaktivasi selektif,0.3137439742903053,0.16626991531240404,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3416666666666666
