model,roc_auc,average_precision,precision_late,recall_late,f1_late
Random Forest,0.651868566641835,0.12313281454047925,0.1080238162744542,0.5830145371078806,0.18227484750627915
Logistic Regression,0.6552557149474059,0.11854542980804353,0.11430416532127866,0.541698546289212,0.18877483002266365
Decision Tree,0.638885565103999,0.10642999697882018,0.09964629832906452,0.6250956388676359,0.171891436987166
